date,flight_id,scale,index_url,frame_status,reference_image_url,county_name,county_url
1980-01-01,GS-SLAR,"['250000', '1000000']",http://mil.library.ucsb.edu/ap_indexes/gsslar,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1980-01-01,FIRESCOPE-III,['24000'],http://mil.library.ucsb.edu/ap_indexes/firescopeiii,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1980-01-01,USDA-Firescope,['40000'],http://mil.library.ucsb.edu/ap_indexes/usdafirescope,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1980-01-01,NHAP-81,['58000'],http://mil.library.ucsb.edu/ap_indexes/nhap81,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1979-12-06,CAJON-PASS,['17000'],http://mil.library.ucsb.edu/ap_indexes/cajonpass,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1979-06-08,79-072-02767,['130000'],http://mil.library.ucsb.edu/ap_indexes/7907202767,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1979-06-08,79-072-02768,['130000'],http://mil.library.ucsb.edu/ap_indexes/7907202768,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1979-06-08,TG-79V-12,['30000'],http://mil.library.ucsb.edu/ap_indexes/tg79v12,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1979-06-01,GS-VEPU,['80000'],http://mil.library.ucsb.edu/ap_indexes/gsvepu,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1979-05-10,TG-79V-7,['30000'],http://mil.library.ucsb.edu/ap_indexes/tg79v7,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1979-04-04,TG-3749,['12000'],http://mil.library.ucsb.edu/ap_indexes/tg3749,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1979-04-02,UCR-Reserves,['24000'],http://mil.library.ucsb.edu/ap_indexes/ucrreserves,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1979-01-26,AMI-SBD-79,['36000'],http://mil.library.ucsb.edu/ap_indexes/amisbd79,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1978-11-27,AMI-SBD-78A,['20000'],http://mil.library.ucsb.edu/ap_indexes/amisbd78a,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
